attendance,study_hours,past_failures,assignments_completed_pct,parental_education,family_income,extracurricular,internet_access,previous_grade,final_score
87.42,10.12,2,100.0,Secondary,Low,Yes,Yes,46.8,76.08
71.54,1.38,3,36.7,Secondary,High,Yes,Yes,48.05,43.21
91.19,8.3,5,64.38,Secondary,Low,No,Yes,69.4,60.89
100.0,3.52,4,93.77,Secondary,Low,No,No,58.07,45.47
69.15,4.69,1,72.36,Primary,Low,Yes,Yes,50.55,37.15
69.15,6.19,1,51.56,Higher,Low,No,Yes,69.05,60.07
100.0,5.52,0,74.04,Secondary,Low,Yes,Yes,51.1,54.16
94.19,0.0,4,63.22,Secondary,Medium,Yes,Yes,77.87,72.62
63.26,11.53,0,84.07,Primary,High,No,Yes,76.09,88.52
88.56,10.54,1,100.0,Secondary,Low,Yes,Yes,100.0,90.86
63.41,5.41,2,78.01,Secondary,Low,Yes,Yes,38.47,64.87
63.36,9.74,4,93.74,Primary,Low,No,Yes,90.47,72.33
81.05,4.41,0,61.57,Secondary,Medium,No,Yes,100.0,69.31
27.17,2.07,2,51.59,Higher,High,Yes,Yes,96.6,33.95
31.88,6.22,3,83.63,Secondary,High,Yes,Yes,17.86,60.56
60.94,1.32,5,68.75,Secondary,Medium,No,No,80.55,33.51
49.68,8.44,1,90.23,Secondary,High,No,No,72.17,73.97
82.86,3.19,1,81.91,Higher,Low,No,Yes,96.12,65.78
52.3,0.0,4,100.0,Secondary,Medium,Yes,Yes,48.69,67.99
39.69,0.0,3,83.35,Higher,High,Yes,Yes,70.15,38.81
100.0,5.49,0,82.08,Higher,Low,No,Yes,70.64,66.45
69.36,7.28,4,81.7,Secondary,Medium,Yes,Yes,38.85,50.39
76.69,11.35,0,70.64,Secondary,Low,No,Yes,99.29,73.39
39.38,0.0,1,51.14,Secondary,Low,Yes,Yes,100.0,27.81
61.39,10.04,1,81.68,Higher,Medium,No,Yes,61.71,66.7
77.77,4.05,3,100.0,Primary,High,Yes,Yes,63.15,66.53
46.23,5.75,5,68.64,Secondary,Low,Yes,Yes,30.01,37.82
84.39,6.02,2,72.73,Secondary,High,No,Yes,100.0,74.18
59.98,5.96,0,86.71,Secondary,Medium,No,Yes,80.08,64.06
67.71,0.0,2,83.73,Higher,Low,Yes,Yes,82.39,61.38
